itemID,itemType,itemMarketName,medianPrice
176097796,Knife,★ Survival Knife | Safari Mesh (Minimal Wear),108.89
176096782,Knife,★ Paracord Knife | Slaughter (Field-Tested),297.67
176097615,Knife,★ Skeleton Knife | Scorched (Well-Worn),275.87
176097466,Knife,★ Skeleton Knife | Urban Masked (Field-Tested),421.03
176097478,Knife,★ Nomad Knife | Stained (Minimal Wear),362.15
176097636,Knife,★ Survival Knife | Night Stripe (Field-Tested),187.02
176097558,Knife,★ Nomad Knife | Night Stripe (Field-Tested),239.2
176097634,Knife,★ Paracord Knife | Fade (Factory New),810.01
176097750,Knife,★ Nomad Knife | Blue Steel (Field-Tested),353.35
176096956,Knife,★ Survival Knife | Urban Masked (Field-Tested),155.0
176097693,Knife,★ Skeleton Knife | Stained (Field-Tested),553.22
176097740,Knife,★ Paracord Knife | Stained (Minimal Wear),229.91
176098043,Knife,★ StatTrak™ Nomad Knife | Stained (Field-Tested),306.67
176097720,Knife,★ Survival Knife | Forest DDPAT (Well-Worn),110.35
176097544,Knife,★ Paracord Knife | Crimson Web (Minimal Wear),555.2
176097826,Knife,★ Nomad Knife | Boreal Forest (Battle-Scarred),151.99
176097164,Knife,★ Skeleton Knife | Slaughter (Minimal Wear),1026.79
176097781,Knife,★ StatTrak™ Nomad Knife | Case Hardened (Minimal Wear),401.66
176097868,Knife,★ Nomad Knife | Case Hardened (Minimal Wear),481.41
176097897,Knife,★ StatTrak™ Survival Knife | Case Hardened (Field-Tested),212.58
176097714,Knife,★ Nomad Knife | Blue Steel (Minimal Wear),350.67
176097814,Knife,★ StatTrak™ Survival Knife | Case Hardened (Minimal Wear),315.74
176097945,Knife,★ StatTrak™ Skeleton Knife | Slaughter (Minimal Wear),1018.9
176097664,Knife,★ Nomad Knife | Case Hardened (Field-Tested),388.69
176097629,Knife,★ Paracord Knife | Urban Masked (Battle-Scarred),109.13
176098166,Knife,★ StatTrak™ Survival Knife | Urban Masked (Field-Tested),117.0
176098193,Knife,★ StatTrak™ Survival Knife | Blue Steel (Minimal Wear),180.65
176098056,Knife,★ Survival Knife | Case Hardened (Minimal Wear),268.09
176097653,Knife,★ Nomad Knife | Blue Steel (Battle-Scarred),296.38
176097421,Knife,★ Nomad Knife | Urban Masked (Battle-Scarred),188.6
176097746,Knife,★ StatTrak™ Survival Knife | Stained (Well-Worn),151.71
176098356,Knife,★ Survival Knife | Boreal Forest (Well-Worn),109.02
176098010,Knife,★ Paracord Knife | Case Hardened (Factory New),382.59
176097748,Knife,★ Survival Knife | Night Stripe (Minimal Wear),188.92
176097786,Knife,★ Nomad Knife | Scorched (Well-Worn),144.62
176097837,Knife,★ Survival Knife | Safari Mesh (Well-Worn),120.2
176098163,Knife,★ StatTrak™ Nomad Knife | Crimson Web (Field-Tested),456.06
176097829,Knife,★ StatTrak™ Nomad Knife | Scorched (Minimal Wear),185.13
176097850,Knife,★ StatTrak™ Skeleton Knife | Forest DDPAT (Field-Tested),337.52
176098324,Knife,★ Paracord Knife | Boreal Forest (Well-Worn),113.51
176098120,Knife,★ Nomad Knife | Crimson Web (Battle-Scarred),315.0
176097920,Knife,★ StatTrak™ Survival Knife | Crimson Web (Field-Tested),288.0
176098450,Knife,★ StatTrak™ Paracord Knife | Case Hardened (Battle-Scarred),248.77
176098083,Knife,★ StatTrak™ Paracord Knife | Case Hardened (Factory New),566.32
176098325,Knife,★ StatTrak™ Nomad Knife | Safari Mesh (Field-Tested),163.32
176097747,Knife,★ Survival Knife | Night Stripe (Well-Worn),136.94
176098097,Knife,★ Nomad Knife | Boreal Forest (Well-Worn),168.47
176097678,Knife,★ Paracord Knife | Boreal Forest (Minimal Wear),148.96
176097597,Knife,★ StatTrak™ Skeleton Knife | Stained (Field-Tested),461.05
176097612,Knife,★ Skeleton Knife | Safari Mesh (Well-Worn),304.81
176097555,Knife,★ Survival Knife | Case Hardened (Well-Worn),226.94
176097660,Knife,★ Survival Knife | Boreal Forest (Battle-Scarred),103.79
176098558,Knife,★ StatTrak™ Paracord Knife | Boreal Forest (Minimal Wear),158.7
176097656,Knife,★ Nomad Knife | Urban Masked (Well-Worn),174.86
176097163,Knife,★ Paracord Knife | Scorched (Battle-Scarred),106.1
176099421,Knife,★ StatTrak™ Nomad Knife | Night Stripe (Well-Worn),151.12
176097078,Knife,★ Paracord Knife | Blue Steel (Field-Tested),203.98
176098482,Knife,★ StatTrak™ Paracord Knife | Safari Mesh (Battle-Scarred),101.46
176098037,Knife,★ StatTrak™ Survival Knife | Forest DDPAT (Minimal Wear),114.58
