Name,Case,Skin,Rarity
Tec-9,Huntsman Weapon Case,Isaac,Mil_Spec Grade
SSG 08,Huntsman Weapon Case,Slashed,Mil_Spec Grade
Galil AR,Huntsman Weapon Case,Kami,Mil_Spec Grade
CZ75-Auto,Huntsman Weapon Case,Twist,Mil_Spec Grade
P90,Huntsman Weapon Case,Module,Mil_Spec Grade
P2000,Huntsman Weapon Case,Pulse,Mil_Spec Grade
AUG,Huntsman Weapon Case,Torque,Restricted
PP-Bizon,Huntsman Weapon Case,Antique,Restricted
XM1014,Huntsman Weapon Case,Heaven Guard,Restricted
MAC-10,Huntsman Weapon Case,Tatter,Restricted
M4A1-S,Huntsman Weapon Case,Atomic Alloy,Classified
SCAR-20,Huntsman Weapon Case,Cyrex,Classified
USP-S,Huntsman Weapon Case,Caiman,Classified
AK-47,Huntsman Weapon Case,Vulcan,Covert
M4A4,Huntsman Weapon Case,Desert-Strike,Covert
Knife,Huntsman Weapon Case,Knife,Exceedingly Rare
