Name,Case,Skin,Rarity
FAMAS,Recoil Case,Meow 36,Mil_Spec Grade
Galil AR,Recoil Case,Destroyer,Mil_Spec Grade
M4A4,Recoil Case,Poly Mag,Mil_Spec Grade
MAC-10,Recoil Case,Monkeyflage,Mil_Spec Grade
Negev,Recoil Case,Drop Me,Mil_Spec Grade
UMP-45,Recoil Case,Roadblock,Mil_Spec Grade
Glock-18,Recoil Case,Winterized,Mil_Spec Grade
R8 Revolver,Recoil Case,Crazy 8,Restricted
M249,Recoil Case,Downtown,Restricted
SG 553,Recoil Case,Dragon Tech,Restricted
P90,Recoil Case,Vent Rush,Restricted
Dual Berettas,Recoil Case,Flora Carnivora,Restricted
AK-47,Recoil Case,Ice Coaled,Classified
P250,Recoil Case,Visions,Classified
Sawed-Off,Recoil Case,Kiss♥Love,Classified
USP-S,Recoil Case,Printstream,Covert
AWP,Recoil Case,Chromatic Aberration,Covert
Gloves,Recoil Case,Gloves,Exceedingly Rare
