Name,Case,Skin,Rarity
SG 553,Operation Bravo Case,Wave Spray,Mil_Spec Grade
Dual Berettas,Operation Bravo Case,Black Limba,Mil_Spec Grade
Nova,Operation Bravo Case,Tempest,Mil_Spec Grade
Galil AR,Operation Bravo Case,Shattered,Mil_Spec Grade
UMP-45,Operation Bravo Case,Bone Pile,Mil_Spec Grade
G3SG1,Operation Bravo Case,Demeter,Mil_Spec Grade
USP-S,Operation Bravo Case,Overgrowth,Restricted
M4A4,Operation Bravo Case,Zirka,Restricted
MAC-10,Operation Bravo Case,Graven,Restricted
M4A1-S,Operation Bravo Case,Bright Water,Restricted
P90,Operation Bravo Case,Emerald Dragon,Classified
P2000,Operation Bravo Case,Ocean Foam,Classified
AWP,Operation Bravo Case,Graphite,Classified
AK-47,Operation Bravo Case,Fire Serpent,Covert
Desert Eagle,Operation Bravo Case,Golden Koi,Covert
Knife,Operation Bravo Case,Knife,Exceedingly Rare
