Name,Case,Skin,Rarity
Five-SeveN,Dreams and Nightmares Case,Scrawl,Mil_Spec Grade
MAC-10,Dreams and Nightmares Case,Ensnared,Mil_Spec Grade
MAG-7,Dreams and Nightmares Case,Foresight,Mil_Spec Grade
MP5-SD,Dreams and Nightmares Case,Necro Jr.,Mil_Spec Grade
P2000,Dreams and Nightmares Case,Lifted Spirits,Mil_Spec Grade
SCAR-20,Dreams and Nightmares Case,Poultrygeist,Mil_Spec Grade
Sawed-Off,Dreams and Nightmares Case,Spirit Board,Mil_Spec Grade
PP-Bizon,Dreams and Nightmares Case,Space Cat,Restricted
G3SG1,Dreams and Nightmares Case,Dream Glade,Restricted
M4A1-S,Dreams and Nightmares Case,Night Terror,Restricted
XM1014,Dreams and Nightmares Case,Zombie Offensive,Restricted
USP-S,Dreams and Nightmares Case,Ticket to Hell,Restricted
Dual Berettas,Dreams and Nightmares Case,Melondrama,Classified
FAMAS,Dreams and Nightmares Case,Rapid Eye Movement,Classified
MP7,Dreams and Nightmares Case,Abyssal Apparition,Classified
AK-47,Dreams and Nightmares Case,Nightwish,Covert
MP9,Dreams and Nightmares Case,Starlight Protector,Covert
Knife,Dreams and Nightmares Case,Knife,Exceedingly Rare
