Name,Case,Skin,Rarity
CZ75-Auto,Operation Broken Fang Case,Vendetta,Mil_Spec Grade
P90,Operation Broken Fang Case,Cocoa Rampage,Mil_Spec Grade
G3SG1,Operation Broken Fang Case,Digital Mesh,Mil_Spec Grade
Galil AR,Operation Broken Fang Case,Vandal,Mil_Spec Grade
P250,Operation Broken Fang Case,Contaminant,Mil_Spec Grade
M249,Operation Broken Fang Case,Deep Relief,Mil_Spec Grade
MP5-SD,Operation Broken Fang Case,Condition Zero,Mil_Spec Grade
AWP,Operation Broken Fang Case,Exoskeleton,Restricted
Dual Berettas,Operation Broken Fang Case,Dezastre,Restricted
Nova,Operation Broken Fang Case,Clear Polymer,Restricted
SSG 08,Operation Broken Fang Case,Parallax,Restricted
UMP-45,Operation Broken Fang Case,Gold Bismuth,Restricted
Five-SeveN,Operation Broken Fang Case,Fairy Tale,Classified
M4A4,Operation Broken Fang Case,Cyber Security,Classified
USP-S,Operation Broken Fang Case,Monster Mashup,Classified
M4A1-S,Operation Broken Fang Case,Printstream,Covert
Glock-18,Operation Broken Fang Case,Neo-Noir,Covert
Gloves,Operation Broken Fang Case,Gloves,Exceedingly Rare
