Name,Case,Skin,Rarity
MAG-7,Revolution Case,Insomnia,Mil_Spec Grade
MP9,Revolution Case,Featherweight,Mil_Spec Grade
SCAR-20,Revolution Case,Fragments,Mil_Spec Grade
P250,Revolution Case,Re.built,Mil_Spec Grade
MP5-SD,Revolution Case,Liquidation,Mil_Spec Grade
SG 553,Revolution Case,Cyberforce,Mil_Spec Grade
Tec-9,Revolution Case,Rebel,Mil_Spec Grade
M4A1-S,Revolution Case,Emphorosaur-S,Restricted
Glock-18,Revolution Case,Umbral Rabbit,Restricted
MAC-10,Revolution Case,Sakkaku,Restricted
R8 Revolver,Revolution Case,Banana Cannon,Restricted
P90,Revolution Case,Neoqueen,Restricted
AWP,Revolution Case,Duality,Classified
UMP-45,Revolution Case,Wild Child,Classified
P2000,Revolution Case,Wicked Sick,Classified
M4A4,Revolution Case,Temukau,Covert
AK-47,Revolution Case,Head Shot,Covert
Gloves,Revolution Case,Gloves,Exceedingly Rare
