Name,Case,Skin,Rarity
Negev,Fracture Case,Ultralight,Mil_Spec Grade
P2000,Fracture Case,Gnarled,Mil_Spec Grade
SG 553,Fracture Case,Ol' Rusty,Mil_Spec Grade
SSG 08,Fracture Case,Mainframe 001,Mil_Spec Grade
P250,Fracture Case,Cassette,Mil_Spec Grade
P90,Fracture Case,Freight,Mil_Spec Grade
PP-Bizon,Fracture Case,Runic,Mil_Spec Grade
MAG-7,Fracture Case,Monster Call,Restricted
Tec-9,Fracture Case,Brother,Restricted
MAC-10,Fracture Case,Allure,Restricted
Galil AR,Fracture Case,Connexion,Restricted
MP5-SD,Fracture Case,Kitbash,Restricted
M4A4,Fracture Case,Tooth Fairy,Classified
Glock-18,Fracture Case,Vogue,Classified
XM1014,Fracture Case,Entombed,Classified
Desert Eagle,Fracture Case,Printstream,Covert
AK-47,Fracture Case,Legion of Anubis,Covert
Knife,Fracture Case,Knife,Exceedingly Rare
