Name,Case,Skin,Rarity
SSG 08,eSports 2014 Winter Case,Dark Water,Mil_Spec Grade
MAC-10,eSports 2014 Winter Case,Ultraviolet,Mil_Spec Grade
USP-S,eSports 2014 Winter Case,Blood Tiger,Mil_Spec Grade
CZ75-Auto,eSports 2014 Winter Case,Hexane,Mil_Spec Grade
Negev,eSports 2014 Winter Case,Bratatat,Mil_Spec Grade
XM1014,eSports 2014 Winter Case,Red Python,Mil_Spec Grade
PP-Bizon,eSports 2014 Winter Case,Blue Streak,Restricted
P90,eSports 2014 Winter Case,Virus,Restricted
MP7,eSports 2014 Winter Case,Ocean Foam,Restricted
Glock-18,eSports 2014 Winter Case,Steel Disruption,Restricted
Desert Eagle,eSports 2014 Winter Case,Crimson Web,Restricted
AUG,eSports 2014 Winter Case,Bengal Tiger,Classified
Nova,eSports 2014 Winter Case,Bloomstick,Classified
AWP,eSports 2014 Winter Case,Corticera,Classified
P2000,eSports 2014 Winter Case,Corticera,Classified
M4A4,eSports 2014 Winter Case,Bullet Rain,Covert
AK-47,eSports 2014 Winter Case,Jaguar,Covert
Knife,eSports 2014 Winter Case,Knife,Exceedingly Rare
