Name,Case,Skin,Rarity
Dual Berettas,Chroma 3 Case,Ventilators,Mil_Spec Grade
G3SG1,Chroma 3 Case,Orange Crash,Mil_Spec Grade
M249,Chroma 3 Case,Spectre,Mil_Spec Grade
MP9,Chroma 3 Case,Bioleak,Mil_Spec Grade
P2000,Chroma 3 Case,Oceanic,Mil_Spec Grade
Sawed-Off,Chroma 3 Case,Fubar,Mil_Spec Grade
SG 553,Chroma 3 Case,Atlas,Mil_Spec Grade
CZ75-Auto,Chroma 3 Case,Red Astor,Restricted
Galil AR,Chroma 3 Case,Firefight,Restricted
SSG 08,Chroma 3 Case,Ghost Crusader,Restricted
Tec-9,Chroma 3 Case,Re-Entry,Restricted
XM1014,Chroma 3 Case,Black Tie,Restricted
AUG,Chroma 3 Case,Fleet Flock,Classified
P250,Chroma 3 Case,Asiimov,Classified
UMP-45,Chroma 3 Case,Primal Saber,Classified
PP-Bizon,Chroma 3 Case,Judgement of Anubis,Covert
M4A1-S,Chroma 3 Case,Chantico's Fire,Covert
Knife,Chroma 3 Case,Knife,Exceedingly Rare
