Name,Case,Skin,Rarity
SG 553,Snakebite Case,Heavy Metal,Mil_Spec Grade
Glock-18,Snakebite Case,Clear Polymer,Mil_Spec Grade
M249,Snakebite Case,O.S.I.P.R.,Mil_Spec Grade
CZ75-Auto,Snakebite Case,Circaetus,Mil_Spec Grade
UMP-45,Snakebite Case,Oscillator,Mil_Spec Grade
R8 Revolver,Snakebite Case,Junk Yard,Mil_Spec Grade
Nova,Snakebite Case,Windblown,Mil_Spec Grade
P250,Snakebite Case,Cyber Shell,Restricted
Negev,Snakebite Case,dev_texture,Restricted
MAC-10,Snakebite Case,Button Masher,Restricted
Desert Eagle,Snakebite Case,Trigger Discipline,Restricted
AK-47,Snakebite Case,Slate,Restricted
MP9,Snakebite Case,Food Chain,Classified
XM1014,Snakebite Case,XOXO,Classified
Galil AR,Snakebite Case,Chromatic Aberration,Classified
USP-S,Snakebite Case,The Traitor,Covert
M4A4,Snakebite Case,In Living Color,Covert
Gloves,Snakebite Case,Gloves,Exceedingly Rare
