Name,Case,Skin,Rarity
AUG,Horizon Case,Amber Slipstream,Mil_Spec Grade
Dual Berettas,Horizon Case,Shred,Mil_Spec Grade
Glock-18,Horizon Case,Warhawk,Mil_Spec Grade
MP9,Horizon Case,Capillary,Mil_Spec Grade
P90,Horizon Case,Traction,Mil_Spec Grade
R8 Revolver,Horizon Case,Survivalist,Mil_Spec Grade
Tec-9,Horizon Case,Snek-9,Mil_Spec Grade
CZ75-Auto,Horizon Case,Eco,Restricted
G3SG1,Horizon Case,High Seas,Restricted
Nova,Horizon Case,Toy Soldier,Restricted
AWP,Horizon Case,PAW,Restricted
MP7,Horizon Case,Powercore,Restricted
M4A1-S,Horizon Case,Nightmare,Classified
Sawed-Off,Horizon Case,Devourer,Classified
FAMAS,Horizon Case,Eye of Athena,Classified
AK-47,Horizon Case,Neon Rider,Covert
Desert Eagle,Horizon Case,Code Red,Covert
Knife,Horizon Case,Knife,Exceedingly Rare
