Name,Case,Skin,Rarity
MP9,Danger Zone Case,Modest Threat,Mil_Spec Grade
Glock-18,Danger Zone Case,Oxide Blaze,Mil_Spec Grade
Nova,Danger Zone Case,Wood Fired,Mil_Spec Grade
M4A4,Danger Zone Case,Magnesium,Mil_Spec Grade
Sawed-Off,Danger Zone Case,Black Sand,Mil_Spec Grade
SG 553,Danger Zone Case,Danger Close,Mil_Spec Grade
Tec-9,Danger Zone Case,Fubar,Mil_Spec Grade
G3SG1,Danger Zone Case,Scavenger,Restricted
Galil AR,Danger Zone Case,Signal,Restricted
MAC-10,Danger Zone Case,Pipe Down,Restricted
P250,Danger Zone Case,Nevermore,Restricted
USP-S,Danger Zone Case,Flashback,Restricted
UMP-45,Danger Zone Case,Momentum,Classified
Desert Eagle,Danger Zone Case,Mecha Industries,Classified
MP5-SD,Danger Zone Case,Phosphor,Classified
AK-47,Danger Zone Case,Asiimov,Covert
AWP,Danger Zone Case,Neo-Noir,Covert
Knife,Danger Zone Case,Knife,Exceedingly Rare
