Name,Case,Skin,Rarity
R8 Revolver,Revolver Case,Crimson Web,Mil_Spec Grade
AUG,Revolver Case,Ricochet,Mil_Spec Grade
Desert Eagle,Revolver Case,Corinthian,Mil_Spec Grade
P2000,Revolver Case,Imperial,Mil_Spec Grade
Sawed-Off,Revolver Case,Yorick,Mil_Spec Grade
SCAR-20,Revolver Case,Outbreak,Mil_Spec Grade
PP-Bizon,Revolver Case,Fuel Rod,Restricted
Five-SeveN,Revolver Case,Retrobution,Restricted
Negev,Revolver Case,Power Loader,Restricted
SG 553,Revolver Case,Tiger Moth,Restricted
Tec-9,Revolver Case,Avalanche,Restricted
XM1014,Revolver Case,Teclu Burner,Restricted
AK-47,Revolver Case,Point Disarray,Classified
G3SG1,Revolver Case,The Executioner,Classified
P90,Revolver Case,Shapewood,Classified
M4A4,Revolver Case,Royal Paladin,Covert
R8 Revolver,Revolver Case,Fade,Covert
Knife,Revolver Case,Knife,Exceedingly Rare
