Name,Case,Skin,Rarity
Galil AR,Falchion Case,Rocket Pop,Mil_Spec Grade
Glock-18,Falchion Case,Bunsen Burner,Mil_Spec Grade
Nova,Falchion Case,Ranger,Mil_Spec Grade
P90,Falchion Case,Elite Build,Mil_Spec Grade
UMP-45,Falchion Case,Riot,Mil_Spec Grade
USP-S,Falchion Case,Torque,Mil_Spec Grade
FAMAS,Falchion Case,Neural Net,Restricted
M4A4,Falchion Case,Evil Daimyo,Restricted
MP9,Falchion Case,Ruby Poison Dart,Restricted
Negev,Falchion Case,Loudmouth,Restricted
P2000,Falchion Case,Handgun,Restricted
CZ75-Auto,Falchion Case,Yellow Jacket,Classified
MP7,Falchion Case,Nemesis,Classified
SG 553,Falchion Case,Cyrex,Classified
AK-47,Falchion Case,Aquamarine Revenge,Covert
AWP,Falchion Case,Hyper Beast,Covert
Knife,Falchion Case,Knife,Exceedingly Rare
