Name,Case,Skin,Rarity
AUG,Prisma 2 Case,Tom Cat,Mil_Spec Grade
AWP,Prisma 2 Case,Capillary,Mil_Spec Grade
CZ75-Auto,Prisma 2 Case,Distressed,Mil_Spec Grade
Desert Eagle,Prisma 2 Case,Blue Ply,Mil_Spec Grade
MP5-SD,Prisma 2 Case,Desert Strike,Mil_Spec Grade
Negev,Prisma 2 Case,Prototype,Mil_Spec Grade
R8 Revolver,Prisma 2 Case,Bone Forged,Mil_Spec Grade
P2000,Prisma 2 Case,Acid Etched,Restricted
Sawed-Off,Prisma 2 Case,Apocalypto,Restricted
SCAR-20,Prisma 2 Case,Enforcer,Restricted
SG 553,Prisma 2 Case,Darkwing,Restricted
SSG 08,Prisma 2 Case,Fever Dream,Restricted
AK-47,Prisma 2 Case,Phantom Disruptor,Classified
MAC-10,Prisma 2 Case,Disco Tech,Classified
MAG-7,Prisma 2 Case,Justice,Classified
M4A1-S,Prisma 2 Case,Player Two,Covert
Glock-18,Prisma 2 Case,Bullet Queen,Covert
Knife,Prisma 2 Case,Knife,Exceedingly Rare
