Name,Case,Skin,Rarity
Tec-9,CSGO Weapon Case 2,Blue Titanium,Mil_Spec Grade
M4A1-S,CSGO Weapon Case 2,Blood Tiger,Mil_Spec Grade
FAMAS,CSGO Weapon Case 2,Hexane,Mil_Spec Grade
P250,CSGO Weapon Case 2,Hive,Mil_Spec Grade
SCAR-20,CSGO Weapon Case 2,Crimson Web,Mil_Spec Grade
Five-SeveN,CSGO Weapon Case 2,Case Hardened,Restricted
MP9,CSGO Weapon Case 2,Hypnotic,Restricted
Nova,CSGO Weapon Case 2,Graphite,Restricted
Dual Berettas,CSGO Weapon Case 2,Hemoglobin,Restricted
P90,CSGO Weapon Case 2,Cold Blooded,Classified
USP-S,CSGO Weapon Case 2,Serum,Classified
SSG 08,CSGO Weapon Case 2,Blood in the Water,Covert
Knife,CSGO Weapon Case 2,Knife,Exceedingly Rare
