Name,Case,Skin,Rarity
Dual Berettas,CS20 Case,Elite 1.6,Mil_Spec Grade
Tec-9,CS20 Case,Flash Out,Mil_Spec Grade
MAC-10,CS20 Case,Classic Crate,Mil_Spec Grade
MAG-7,CS20 Case,Popdog,Mil_Spec Grade
SCAR-20,CS20 Case,Assault,Mil_Spec Grade
FAMAS,CS20 Case,Decommissioned,Mil_Spec Grade
Glock-18,CS20 Case,Sacrifice,Mil_Spec Grade
M249,CS20 Case,Aztec,Restricted
MP5-SD,CS20 Case,Agent,Restricted
Five-SeveN,CS20 Case,Buddy,Restricted
P250,CS20 Case,Inferno,Restricted
UMP-45,CS20 Case,Plastique,Restricted
MP9,CS20 Case,Hydra,Classified
P90,CS20 Case,Nostalgia,Classified
AUG,CS20 Case,Death by Puppy,Classified
AWP,CS20 Case,Wildfire,Covert
FAMAS,CS20 Case,Commemoration,Covert
Knife,CS20 Case,Knife,Exceedingly Rare
