Name,Case,Skin,Rarity
UMP-45,Operation Phoenix Weapon Case,Corporal,Mil_Spec Grade
Negev,Operation Phoenix Weapon Case,Terrain,Mil_Spec Grade
Tec-9,Operation Phoenix Weapon Case,Sandstorm,Mil_Spec Grade
MAG-7,Operation Phoenix Weapon Case,Heaven Guard,Mil_Spec Grade
MAC-10,Operation Phoenix Weapon Case,Heat,Restricted
SG 553,Operation Phoenix Weapon Case,Pulse,Restricted
FAMAS,Operation Phoenix Weapon Case,Sergeant,Restricted
USP-S,Operation Phoenix Weapon Case,Guardian,Restricted
AK-47,Operation Phoenix Weapon Case,Redline,Classified
P90,Operation Phoenix Weapon Case,Trigon,Classified
Nova,Operation Phoenix Weapon Case,Antique,Classified
AWP,Operation Phoenix Weapon Case,Asiimov,Covert
AUG,Operation Phoenix Weapon Case,Chameleon,Covert
Knife,Operation Phoenix Weapon Case,Knife,Exceedingly Rare
